time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-02 00:00:00+00:00,8,2,,
2025-08-03 00:00:00+00:00,9,3,,
2025-08-04 00:00:00+00:00,19,11,1.0,1.0
2025-08-05 00:00:00+00:00,15,7,,
2025-08-06 00:00:00+00:00,75,29,15.0,1.0
2025-08-07 00:00:00+00:00,28,11,1.0,1.0
2025-08-08 00:00:00+00:00,11,5,,
2025-08-09 00:00:00+00:00,9,3,,
2025-08-10 00:00:00+00:00,9,3,,
2025-08-11 00:00:00+00:00,25,11,,
2025-08-12 00:00:00+00:00,11,4,,
2025-08-13 00:00:00+00:00,9,3,,
2025-08-14 00:00:00+00:00,1,1,,
